A̱o,Trimestre,Accesos por cada 100 hab,Ingresos (miles de $)
2013,1,154,13135235
2013,2,156,13970806
2013,3,159,15235659
2013,4,159,16218846
2014,1,148,15938353
2014,2,143,17680972
2014,3,143,18976053
2014,4,143,20012332
2015,1,140,19337342
2015,2,139,19945453
2015,3,141,21785238
2015,4,143,24881967
2016,1,142,24763052
2016,2,143,25353971
2016,3,146,27416177
2016,4,146,30143233
2017,1,144,31205565
2017,2,143,33509264
2017,3,141,35711689
2017,4,140,38110028
2018,1,137,38733946
2018,2,134,40653502
2018,3,132,43280089
2018,4,131,44026803
2019,1,131,50246691
2019,2,129,55338816
2019,3,129,60905891
2019,4,125,65388842
2020,1,124,72077147
2020,2,122,73538944
2020,3,120,79634755
2020,4,120,83479114
2021,1,124,93112153
2021,2,124,104782020
2021,3,126,117751925
2021,4,128,127389786
2022,1,129,130454716
